Cow,GS,all_click_worker_mean,all_click_worker_sd,sampled_click_worker_mean,sampled_click_worker_sd,sampled_delete_click_worker_mean,sampled_delete_click_worker_sd,sampled_exchange0_click_worker_mean,sampled_exchange0_click_worker_sd,sampled_ind_exchange0_click_worker_mean,sampled_ind_exchange0_click_worker_sd,sampled_milestone_min_click_worker_mean,sampled_milestone_min_click_worker_sd,sampled_milestone_max_click_worker_mean,sampled_milestone_max_click_worker_sd,DW_experts_mean,DW_experts_sd,NV_experts_mean,NV_experts_sd,NV_DW_experts_mean,NV_DW_experts_sd,SB_experts_mean,SB_experts_sd,KI_experts_mean,KI_experts_sd,NV_DW_SB_KI_experts_mean,NV_DW_SB_KI_experts_sd
5087,3.866666667,25.6848581,0.285759612,25.74066514,0.370283709,26.1591803,0.262795856,25.72370897,0.347194241,22.91157934,0.439089311,28.01115787,0.246202621,25.72242015,0.398465339,25.22177574,1.134802628,26.04389517,0.937189559,26.37995948,0.750900723,25.15924718,1.277974654,24.9422737,0.962077361,26.53172003,0.488506066
6088,3.533333333,22.5219097,0.331615327,22.08413005,0.429391153,22.37569086,0.340092462,21.96811707,0.399933628,18.19610709,0.434414584,20.04463721,1.30005638,19.4888398,1.280680128,23.57321594,1.304487919,24.67986757,1.019832852,24.67667462,0.88819739,20.4779612,1.462909132,24.3253947,0.996274659,24.01227548,0.550745808
4035,3.066666667,25.39645541,0.284042804,25.51471296,0.374873651,25.63035143,0.290190006,25.43338158,0.351241314,22.06658478,0.452154989,26.00170821,0.324696883,25.62133062,0.391090758,25.90988591,1.084479986,25.41492192,0.97895637,26.33212979,0.755763586,25.95605682,1.151196791,26.60567249,0.8886852,27.28050056,0.453618156
6086,2.933333333,18.2421736,0.372870398,17.83350239,0.468008905,19.57995619,0.749114843,17.01255701,0.509605768,16.12178645,0.434947405,18.24670621,0.721315743,18.52378798,0.541380944,14.28617435,1.571735732,22.64784584,1.026162129,19.23309801,1.006667221,20.62366284,1.467225026,22.44363258,1.02965805,20.69132503,0.573380515
6095,2.666666667,17.18063616,0.31444782,17.12149373,0.441088308,17.48230764,0.885021945,16.25957244,0.443539583,15.34128001,0.42738883,18.62598793,1.322727828,18.75308523,1.271786622,16.12605821,1.47619257,21.44036028,1.143510145,18.92199611,1.035111543,19.91526577,1.470245377,21.26361323,1.038771181,20.07463475,0.703165203
6068,2.6,16.33828374,0.378766876,16.59875346,0.450828336,18.4295817,0.641418801,16.11021324,0.433740015,14.77711179,0.399210693,16.14519652,1.414015071,15.86880554,1.380536784,10.53746957,1.391589948,17.74588839,1.285576458,14.0114913,1.086918068,14.15628971,1.404153308,12.45392341,1.037052766,13.9006189,0.696461126
7116,2.533333333,24.37953701,0.28930186,24.25885543,0.399894691,24.44700057,0.328716447,24.07000626,0.376471563,20.62960853,0.447707879,24.36778668,0.847612483,23.13043775,0.976538846,24.34666017,1.239637184,20.54846885,1.123253422,22.78511759,0.954979471,21.38280965,1.403683917,23.97610266,1.058327764,23.11082861,0.561140457
6053,2.466666667,12.5595901,0.548022351,12.79602461,0.423637842,15.26469641,0.996753597,12.52340047,0.515679026,12.83013892,0.413400642,12.60819379,1.413967444,12.11518725,1.418099415,14.02545489,1.363433306,17.34188414,1.066223917,15.40132387,1.010881333,10.699015,1.331935456,13.295622,1.08201428,13.13278803,0.872433622
6062,2.466666667,11.4899557,0.361942325,11.53156099,0.410379769,10.2867831,0.933703466,11.49376547,0.561779279,12.62932674,0.395294994,11.29356117,1.388325177,11.37819801,1.383109076,13.66493093,1.395856629,12.65078208,1.192362147,13.08377592,0.990490626,11.7653783,1.276002131,18.76766642,1.190256368,14.11609781,0.802440817
6096,2.4,12.09906975,0.338965656,12.0704832,0.406948239,10.97322504,0.988515988,11.44257478,0.468008078,12.66056699,0.411260258,11.68224271,0.472739453,11.80128289,0.382857468,12.79836427,1.481038973,18.3489497,1.121912368,15.6575007,1.024836692,12.81656339,1.402860884,14.43875611,1.071687051,14.34867581,0.827555637
6025,2.333333333,8.740179527,0.415247,8.559107819,0.404293766,7.67860799,0.649373751,9.028785614,0.430027422,11.07662336,0.401573529,10.45455194,1.402431985,10.18588159,1.395160204,15.26542794,1.471628739,14.28067754,1.276678636,14.71317402,1.080698098,11.63029997,1.42487682,15.53710641,1.111829777,13.89591855,0.591221838
7060,2.333333333,9.081485598,0.341485261,9.331334376,0.42539805,9.607403617,0.823351723,10.51963981,0.450082434,12.10265101,0.442941013,8.621422801,1.207934482,9.199915122,1.232610182,8.428386188,1.249055758,9.288352343,1.005753015,8.508619869,0.875597317,10.59476351,1.283983171,8.698115945,1.054093203,9.213625453,0.698519487
7138,2.333333333,9.211477703,0.376546475,8.852567827,0.410783491,9.45465299,0.885619968,10.24152255,0.474568371,12.02095368,0.404100723,8.722711359,1.388673254,9.511580362,1.397282142,12.09781625,1.470916644,15.87276707,1.241952661,13.8988826,1.005547419,15.84564611,1.573850267,13.27716917,1.250635279,13.7751337,0.676119864
5118,2.266666667,13.15767524,0.329257448,12.80631794,0.425482193,11.98299962,0.942237588,12.25209226,0.549072228,13.24672562,0.51001494,12.46797065,1.297067443,12.15517903,1.30947451,10.78103218,1.399076747,10.59337483,1.110661918,10.81764049,0.976576346,14.53732563,1.454844469,6.830952105,1.035808762,10.29852207,0.695053724
7064,2.266666667,17.51590523,0.351777388,17.67379894,0.454909718,17.49609579,0.769336516,15.65467762,0.420990084,15.70721568,0.403733507,17.51699268,1.365663496,17.99155038,1.295038129,14.42128445,1.421032052,16.93513057,1.106347567,15.30581168,0.990187372,12.33761889,1.29200473,8.903386859,1.06488578,12.72072133,0.600479608
7128,2.266666667,11.98321431,0.470782324,12.20114026,0.427920157,10.12490734,1.178183999,12.12933101,0.43394118,12.53272408,0.492270387,12.96021995,1.379760579,12.74112107,1.351555077,16.93849359,1.387873016,9.540054373,1.086974668,13.18269346,1.016085299,10.50947071,1.359732476,8.893643452,0.976598431,11.03198885,0.61022923
8083,2.266666667,18.84369532,0.332839444,19.01820582,0.423006611,19.59418501,0.683671125,17.39883731,0.490711288,15.97184807,0.41884476,19.5715648,1.291116186,19.65327208,1.249286601,14.6341803,1.439695836,19.8438661,1.140119418,17.34786476,0.995717276,18.47584903,1.506062077,14.57328267,1.090691967,17.09627362,0.786364541
4008,2.2,20.31327281,0.330466303,20.22801914,0.431847569,20.1243868,0.518741687,19.74959361,0.433136852,16.58686511,0.448317954,17.51753475,1.368570406,18.21394922,1.324659814,22.0565164,1.358371959,18.40252048,1.192249485,20.35332686,0.981987037,17.79856439,1.475311282,20.8257117,1.108453244,19.99941037,0.596878802
4026,2.2,18.15819673,0.357871411,18.56239745,0.463456962,17.78754809,0.641195022,17.61614685,0.516444661,17.10779581,0.445719405,16.08781983,1.427827157,16.4309367,1.372948064,16.64098998,1.516090079,15.43602261,1.206326059,16.05218938,1.080300035,17.70838746,1.430549567,18.63032496,1.005165209,17.47007726,0.575943815
5064,2.133333333,18.98196809,0.412834333,18.48929625,0.459804322,19.20165241,0.632524342,18.20946555,0.429698042,15.90559109,0.42967825,18.42859438,1.356704042,20.27995315,1.213361244,13.54182154,1.284013,11.72080073,1.26144199,12.83928526,0.956780102,12.12848215,1.295407881,8.477794786,1.008462965,11.0771188,0.808105658
6046,2.133333333,7.45582289,0.309307925,7.290458845,0.387201875,7.627945165,0.739950827,8.944273344,0.423914119,11.43824202,0.382154484,9.278651337,1.322699248,9.021022479,1.329181758,7.835989517,1.28390585,7.837494366,0.950127917,7.70742575,0.872715928,9.482758018,1.32435657,12.24750445,1.402073397,9.026231322,0.811810149
6094,2.133333333,6.81090852,0.328732926,6.813095916,0.431231935,6.86568443,0.814355837,9.695414287,0.447247918,11.41997075,0.404230597,7.075320837,1.331420643,7.374548898,1.353977335,14.38989093,1.550983959,8.098140563,1.025450041,10.74102265,0.927134168,11.99102126,1.40126881,12.44855041,0.972445732,11.54125332,0.568674474
7109,2.133333333,10.89942186,0.321910717,11.31763947,0.439593255,10.05404404,1.141579932,11.58559085,0.442017766,13.0084163,0.402666367,12.85873994,1.332043028,12.92131395,1.322429346,16.39447342,1.519194121,10.35579946,1.085830318,13.27006137,0.947171434,11.6154764,1.317155835,11.22419441,1.230126719,12.31813384,0.619290477
7136,2.133333333,12.6015432,0.303177017,12.76469473,0.439308116,12.8961632,0.854340685,12.22558099,0.489204397,12.74151483,0.408393386,12.28325603,1.375830828,13.24554468,1.361311125,14.03655587,1.439602178,5.915431705,0.993502286,9.404575907,0.958707403,9.70977085,1.305504699,10.90658986,1.235538511,9.365881822,0.897452306
7163,2.133333333,16.67978467,0.409649541,16.23397436,0.476256215,15.63006527,0.709190506,15.07915255,0.436306248,14.91813104,0.410454403,15.70411017,1.435427605,15.06772185,1.415417946,10.78537959,1.381319572,12.75568458,1.06767996,11.71242648,0.932173905,11.25632385,1.353905213,9.747792357,1.06561078,10.80049119,0.817987553
6029,2.066666667,8.574226777,0.348980515,8.52638993,0.403028881,7.53441031,0.653117002,9.180585607,0.473440605,11.98191126,0.392002552,9.316848081,1.280027623,9.401935365,1.28871116,7.162626419,1.293516446,6.787766998,0.970110916,6.614140207,0.879152412,9.766282885,1.300426235,6.969741852,1.035851242,7.580196538,0.549013148
6092,2.066666667,10.64726984,0.327700162,10.74181304,0.417733394,10.69079009,0.815376296,11.52843512,0.440881411,12.37009146,0.405568892,11.19221697,1.373971991,10.71529285,1.350977576,9.357556424,1.114962663,8.360611563,1.188190911,9.083769402,0.811532458,10.73880785,1.364003699,8.731313998,1.250841844,9.255304195,0.499230907
7153,2.066666667,10.63382833,0.34291515,10.336395,0.446574171,10.220937,0.885818861,10.75954656,0.458611342,12.13098919,0.397167667,9.600918607,1.313251399,9.876273638,1.336945358,12.02763159,1.474716882,9.901226967,1.147469779,10.42157587,0.953898837,11.70191688,1.303671035,12.5746946,1.464304381,11.32749114,0.755634296
7045,2,8.541616076,0.286369015,8.791374598,0.381295647,10.23548896,0.735360939,10.13158274,0.436626034,11.61936251,0.395454032,8.819154616,0.443044461,8.84640331,0.900909927,7.577880793,1.3073292,6.933636374,0.917941339,6.961402223,0.888495067,9.315373266,1.317125544,6.417295374,0.972325736,7.410988251,0.551099943
7114,2,10.27603801,0.292024304,10.91179635,0.469516267,9.563258637,0.997710344,11.03244847,0.427107006,12.94828647,0.446497163,9.494221975,1.336642941,9.763229026,1.355556125,10.13607666,1.229880223,9.277776836,1.025865403,9.581044343,0.868217161,14.90361103,1.369357602,16.57217735,1.0775675,12.59577339,0.626639116